member_casual,round_trip,day_of_week,month,year,ride_length
member,Yes,Thursday,February,2017,9.70
casual,No,Tuesday,February,2017,20.65
member,No,Tuesday,February,2017,8.58
casual,Yes,Tuesday,February,2017,31.66
member,Yes,Tuesday,February,2017,10.03
casual,No,Wednesday,February,2017,21.31
member,No,Wednesday,February,2017,8.40
casual,Yes,Wednesday,February,2017,32.10
member,Yes,Wednesday,February,2017,11.52
casual,No,Friday,January,2017,18.88
member,No,Friday,January,2017,7.67
casual,Yes,Friday,January,2017,23.30
member,Yes,Friday,January,2017,7.07
casual,No,Monday,January,2017,18.59
member,No,Monday,January,2017,7.68
casual,Yes,Monday,January,2017,23.44
member,Yes,Monday,January,2017,10.21
casual,No,Saturday,January,2017,23.67
member,No,Saturday,January,2017,8.85
casual,Yes,Saturday,January,2017,27.39
member,Yes,Saturday,January,2017,13.17
casual,No,Sunday,January,2017,19.42
member,No,Sunday,January,2017,7.80
casual,Yes,Sunday,January,2017,25.45
member,Yes,Sunday,January,2017,10.38
casual,No,Thursday,January,2017,15.90
member,No,Thursday,January,2017,7.78
casual,Yes,Thursday,January,2017,20.14
member,Yes,Thursday,January,2017,8.07
